점검일자,연월,지사,사업장,점검자,직급,점검유형,Area/공정,위험분류,위험요소원본,심각도원본,심각도점수,지적내용_평문,조치유형,조치활동분류,조치내용_평문,완료여부,지적내용,조치내용
2026-07-10,2026-07,울산지사,세방전지센터,INSPECTOR_18,EHS팀 책임,지사 주관,울산지사_ 세방전지센터,충돌,충돌,개선필요 [중],2.0,물류센터 내 작업 중 안전모를 착용하지 않은 상태를 확인하여 즉시 착용하도록 지도,즉시처리,교육·지도,관리감독자 수시점검 현장 교육 및 해당 안전수칙 미준수 근로자 즉시 착용 확인 후 작업 재개 실시.,완료,물류센터 내 작업 중 안전모를 착용하지 않은 상태를 확인하여 즉시 착용하도록 지도,관리감독자 수시점검  현장 교육 및 해당 안전수칙 미준수 근로자 즉시 착용 확인 후 작업 재개 실시.
2026-07-10,2026-07,강원지사,안인,INSPECTOR_19,EHS팀 선임,지사 주관,강원지사_ 안인,관리적미흡,관리적 미흡,개선필요 [상],3.0,"인양작업 구간 내 차량 이동 인양물 낙하에 따른 차량 충돌 및 인명사고 위험 인양작업 중 차량의 작업구역 진입을 즉시 통제하고, 안전반경 외부로 이동하여 대기하도록 조치 요청.",즉시처리,제거·차단,반경 내부 출입금지 조치 실시(반경 외 이동),완료,"<지적사항>
인양작업 구간 내 차량 이동
<위험요인>
인양물 낙하에 따른 차량 충돌 및 인명사고 위험
<조치요청>
인양작업 중 차량의 작업구역 진입을 즉시 통제하고, 
안전반경 외부로 이동하여 대기하도록 조치 요청.",반경 내부 출입금지 조치 실시(반경 외 이동)
2026-07-10,2026-07,강원지사,안인,INSPECTOR_19,EHS팀 선임,지사 주관,강원지사_ 안인,충돌,충돌,개선필요 [상],3.0,"인양물이 완전히 착지·안착되기 전에 사다리를 제거하려는 작업이 확인됨. 인양물의 잔여 텐션 및 흔들림으로 인해 작업자와의 충돌 위험이 있으며, 해치커버 상부 작업 중 균형을 잃어 추락으로 이어질 수 있는 2차 재해가 발생할 우려가 있음. 인양물이 완전히 착지 및 안정적으로 안착된 것을 확인한 후 사다리 이동 등 후속 작업을 실시하도록 작업절차를 준수 요청.",즉시처리,설치·구조물,인양물이 완전히 안착 확인 후 인양물 고정용 부속품 및 사다리를 작업구간 외부(상부)로 이동 확인,완료,"<지적사항>
인양물이 완전히 착지·안착되기 전에 사다리를 제거하려는 작업이 확인됨.
<위험요인>
인양물의 잔여 텐션 및 흔들림으로 인해 작업자와의 충돌 위험이 있으며, 해치커버 상부 작업 중 균형을 잃어 추락으로 이어질 수 있는 
2차 재해가 발생할 우려가 있음.
<조치요청>
인양물이 완전히 착지 및 안정적으로 안착된 것을 확인한 후 사다리 이동 등 후속 작업을 실시하도록 작업절차를 준수 요청.",인양물이 완전히 안착 확인 후 인양물 고정용 부속품 및 사다리를 작업구간 외부(상부)로 이동 확인
2026-07-10,2026-07,강원지사,안인,INSPECTOR_19,EHS팀 선임,지사 주관,강원지사_ 안인,충돌,충돌,개선필요 [상],3.0,"정리 및 살수 작업은 작업자의 안전 확보 필요 살수 작업 중 노즐의 수압 반력으로 인한 순간적인 튕김(반동) 현상이 발생하여 작업자의 균형 상실 및 주변 설비와의 충돌 위험이 있음. 노즐 조작 보조, 호스 관리 및 비상상황 발생 시 즉시 대응할 수 있도록 작업체계를 운영 요청.",즉시처리,점검·확인,1) 2인1조 작업 확인 2) 수시확인,완료,"<지적사항>
정리 및 살수 작업은 작업자의 안전 확보 필요
<위험요인>
살수 작업 중 노즐의 수압 반력으로 인한 순간적인 튕김(반동) 현상이 발생하여 작업자의 균형 상실 및 주변 설비와의 충돌 위험이 있음.
<조치요청>
노즐 조작 보조, 호스 관리 및 비상상황 발생 시 즉시 대응할 수 있도록 작업체계를 운영 요청.","1) 2인1조 작업 확인
2) 수시확인
"
2026-07-10,2026-07,전북지사,군산항 부두,INSPECTOR_05,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,추락,추락,개선필요 [중],2.0,BAG출고 작업 중 안전작업대 상부 근로자의 안전대 착용 미흡으로 인한 추락위험,즉시처리,보호구지급,현장 관리감독자로 하여금 안전대 지급 및 착용확인,완료,"[군산항 5부두]
BAG출고 작업 중 안전작업대 상부 근로자의 안전대 착용 미흡으로 인한 추락위험",현장 관리감독자로 하여금 안전대  지급 및 착용확인
2026-07-10,2026-07,경남지사,마산항,INSPECTOR_15,EHS팀 책임,지사 주관,경남지사_ 마산항,관리적미흡,관리적 미흡,개선필요 [하],1.0,온열질환 주지 윈드배너 현수막의 찢어짐으로 인한 교체필요.,즉시처리,기타,윈드배너 쿄체 완료.,완료,온열질환 주지 윈드배너 현수막의 찢어짐으로 인한 교체필요.,윈드배너 쿄체 완료.
2026-07-09,2026-07,경인지사,의왕,INSPECTOR_03,EHS팀 주임,지사 주관,경인지사_ 의왕,추락,추락,핵심안전수칙 위반,4.0,"타사 소속 운전원(PERSON_0779, 차량번호) 1인 의왕ICD 1군 당사 관리구역 내 안전모 미착용 하차 후 컨테이너 후미 사진 촬영",,미분류,,진행(조치 전),"타사 소속 운전원(PERSON_0779, 차량번호) 1인 의왕ICD 1군 당사 관리구역 내 안전모 미착용 하차 후 컨테이너 후미 사진 촬영",
2026-07-08,2026-07,전북지사,군산항역,INSPECTOR_11,EHS팀 선임,지사 주관,전북지사_ 군산항역,전도,전도,개선필요 [하],1.0,야드맨 현장 통행 중 전도의 위험이 있어 보행통로에 보완조치 필요,즉시처리,설치·구조물,코일매트 설치를 통해 근로자 보행자통로 구역 확보,완료,"[운송팀_군산]
야드맨 현장 통행 중 전도의 위험이 있어 보행통로에 보완조치 필요",코일매트 설치를 통해 근로자 보행자통로 구역 확보
2026-07-08,2026-07,광양지사,LME/공컨장치장,INSPECTOR_12,EHS팀 책임,지사 주관,광양지사_ LME/공컨장치장,끼임·협착,끼임ㆍ협착,개선필요 [상],3.0,"지게차 운전 중 안전벨트 미 착용 확 지게차 전도 사고 발생 시, 운전자가 차체 밖으로 튕겨나가 지게차에 깔릴 위험 현장 개선조치",즉시처리,교육·지도,운전원 안전벨트 착용 지도,완료,"<내용>
지게차 운전 중 안전벨트 미 착용 확
<위험요소>
지게차 전도 사고 발생 시, 운전자가 차체 밖으로 튕겨나가 지게차에 깔릴 위험
<요청사항>
현장 개선조치",운전원 안전벨트 착용 지도
2026-07-08,2026-07,광양지사,LME/공컨장치장,INSPECTOR_12,EHS팀 책임,지사 주관,광양지사_ LME/공컨장치장,추락,추락,핵심안전수칙 위반,4.0,차량 상부 작업 중(톤백 줄걸이 작업) 추락방지조치 미실시 균형을 잃거나 발을 헛디딜 경우 추락위험 추후 작업시에는 작업자에게 안전대를 지급 및 착용하도록 관리,즉시처리,보호구지급,"차량 상부 작업 시 안전대를 지급 및 착용하도록 조치하고, 작업 전 착용 여부를 확인한 후 작업을 실시하도록 관리하였습니다.",완료,"<내용>
차량 상부 작업 중(톤백 줄걸이 작업) 추락방지조치 미실시
<위험요소>
균형을 잃거나 발을 헛디딜 경우 추락위험
<요청사항>
추후 작업시에는 작업자에게 안전대를 지급 및 착용하도록 관리","차량 상부 작업 시 안전대를 지급 및 착용하도록 조치하고, 작업 전 착용 여부를 확인한 후 작업을 실시하도록 관리하였습니다."
